Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C104, C105, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C201, C202, C203, C204, C205, C206, C207, C208, C209",0603,24,100nF,C14663
"C102, C103",0603,2,27pF,C107045
"C106, C107",0603,2,1uF,C15849
J101,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Pin,C160403
R103,0603,1,1k,C21190
U101,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSS,C131025
U102,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
"U103, U104, U105, U106, U209, U210, U211, U212",SOP-16_3.9x9.9mm_P1.27mm,8,74HC595,C2929943
"U213, U214, U215, U216",SOIC-20W_7.5x12.8mm_P1.27mm,4,74HC688,C88042
U217,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC32,C5632
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,XC32M4-12.000-F18LJDT,C2890217
